Added_Variable,GDP_Base_Coeff,GDP_Base_p,GDP_New_Coeff,GDP_New_p,Var_Coeff,Var_p,Corr_with_GDP,Model_R2
log_health_expenditure_per_capita,0.05608591731744249,0.6015221102627046,-1.000450601422536,0.005126690172299067,1.106353353550007,0.0020138750104282577,0.9549720397645303,0.05096455950016443
log_total_citations,0.05608591731744249,0.6015221102627046,-0.42957222529104133,0.00022398943816001317,0.860177868060096,1.9914328902463347e-12,0.5646019976121418,0.23309296107347188
health_exp_per_capita,0.05608591731744249,0.6015221102627046,-0.4050715505876591,0.013956538787725783,0.5977893878804652,0.00032488303952977045,0.7714380302738251,0.06794031991719662
log_total_publications,0.05608591731744249,0.6015221102627046,-0.3688549593894461,0.0010917472393188236,0.8138955826146999,7.04412058021287e-12,0.5221073633815952,0.22289450159491886
rd_expenditure,0.05608591731744249,0.6015221102627046,-0.34676635344433937,0.0031134077251923735,0.7440769080978245,1.044962862845378e-09,0.5414121394946159,0.18130681982399965
log_researchers_per_million,0.05608591731744249,0.6015221102627046,-0.3109075188149777,0.09160489968194359,0.44940385896102975,0.015159740375492352,0.8166227966552558,0.03236599421055453
gdp_per_capita,0.05608591731744249,0.6015221102627046,-0.31001934161489236,0.14054451381791816,0.4249434953967884,0.04390462646056603,0.861538681961672,0.022836282205645375
log_gdp,0.05608591731744249,0.6015221102627046,-0.26942747015394786,0.008415530653743612,0.8137861321846901,9.54988409129942e-14,0.39999869080776423,0.25710449146663994
hdi,0.05608591731744249,0.6015221102627046,-0.20349018796257928,0.49159474647589585,0.27860235586008836,0.3466395679677886,0.931708220767447,0.006151536168197191
sanitation,0.05608591731744249,0.6015221102627046,-0.10160060199770996,0.5545418471173975,0.20182273662613642,0.24107093534801835,0.7813119668833776,0.008737983904034352
foreign_aid_received,0.05608591731744249,0.6015221102627046,-0.08656995794031712,0.5326301762071219,-0.22399888615606606,0.10743162012893764,-0.6368597527684466,0.015152525880239298
log_hospital_beds_per_capita,0.05608591731744249,0.6015221102627046,-0.0799510411398521,0.41786930824840285,0.6664858733562473,1.6113651356111158e-10,0.20411079048419783,0.1970873330699695
democracy_index,0.05608591731744249,0.6015221102627046,-0.042936825446330006,0.729931309850666,0.19409335678231893,0.11976792330205727,0.5101809995219427,0.014252635424029658
trust_scientists,0.05608591731744249,0.6015221102627046,0.032464790536334595,0.8035040093480086,0.04178335452000947,0.7488043512443157,0.5653238485147468,0.0019915963332799436
log_medical_school,0.05608591731744249,0.6015221102627046,0.033851701593251945,0.7561115138672372,0.125963709231428,0.24857324512481824,0.17651286914186162,0.008510545979095063
altruism,0.05608591731744249,0.6015221102627046,0.060825388455027024,0.5979745292956837,-0.013221821299589515,0.9087107854842704,0.35845826608862996,0.0015156849857422827
uhc_index,0.05608591731744249,0.6015221102627046,0.10943905206482264,0.6103484124211035,-0.06166033680731625,0.7739790156884264,0.865274786190425,0.0018847667110770683
log_population,0.05608591731744249,0.6015221102627046,0.21019679170801553,0.023005272808891964,0.8194186384967583,3.7308904097862922e-16,-0.18807343054008738,0.2991136360682941
log_doctors_per_10k,0.05608591731744249,0.6015221102627046,0.28378054500987,0.1476041473043677,-0.27220703150918024,0.16474180145264422,0.8364759221318957,0.011672142615993253
